"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
444,"2019-2020","045","Revised","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution Less-Receipts netted against expenditure",""
445,"2019-2020","045","Revised","Union Excise Duties","Cesses administered by Other Departments","Research and Development ",""
446,"2019-2020","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Beedi Fund ",""
447,"2019-2020","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Cess Collection on Textiles & Textile Machinery ",""
448,"2019-2020","044","Revised","Service Tax","Collections","Cess Collection on Textiles & Textile Machinery ",1166.8
449,"2019-2020","044","Revised","Service Tax","Education Cess","Cess Collection on Textiles & Textile Machinery ",3.5
450,"2019-2020","044","Revised","Service Tax","Secondary & Higher Education Cess","Cess Collection on Textiles & Textile Machinery ",1.7
451,"2019-2020","044","Revised","Service Tax","Swachh Bharat Cess","Cess Collection on Textiles & Textile Machinery ",16.0
452,"2019-2020","044","Revised","Service Tax","Krishi Kalyan Cess","Cess Collection on Textiles & Textile Machinery ",12.0
453,"2019-2020","040","Revised","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Cess Collection on Textiles & Textile Machinery ",""
454,"2019-2020","045","Revised","Other Taxes and Duties on Commodities and Services","Other Taxes","Cess Collection on Textiles & Textile Machinery ",""
455,"2019-2020","005","Revised","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Cess Collection on Textiles & Textile Machinery ",514000.0
456,"2019-2020","008","Revised","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Cess Collection on Textiles & Textile Machinery ",""
457,"2019-2020","009","Revised","Goods and Services Tax (GST)","GST Compensation Cess","Cess Collection on Textiles & Textile Machinery ",98327.0
458,"2019-2020","710","Revised","Taxes of Union Territories","Land Revenue","Cess Collection on Textiles & Textile Machinery ",42.56
459,"2019-2020","710","Revised","Taxes of Union Territories","Stamps and Registration","Cess Collection on Textiles & Textile Machinery ",290.72
460,"2019-2020","710","Revised","Taxes of Union Territories","State Excise Duties","Cess Collection on Textiles & Textile Machinery ",1341.5
461,"2019-2020","710","Revised","Taxes of Union Territories","Sales Tax","Cess Collection on Textiles & Textile Machinery ",1513.5
462,"2019-2020","710","Revised","Taxes of Union Territories","Taxes on Vehicles","Cess Collection on Textiles & Textile Machinery ",323.52
463,"2019-2020","710","Revised","Taxes of Union Territories","Taxes on goods and passengers","Cess Collection on Textiles & Textile Machinery ",18.89
464,"2019-2020","710","Revised","Taxes of Union Territories","Taxes and Duties on Electricity","Cess Collection on Textiles & Textile Machinery ",50.0
465,"2019-2020","710","Revised","Taxes of Union Territories","Other Taxes and Duties","Cess Collection on Textiles & Textile Machinery ",599.31
466,"2019-2020","007","Revised","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Cess Collection on Textiles & Textile Machinery ",2704.0
467,"2019-2020","037","Revised","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Cess Collection on Textiles & Textile Machinery ",-890.0
468,"2019-2020","038","Revised","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Cess Collection on Textiles & Textile Machinery ",-1900.0
469,"2020-2021","020","Budget","Corporation Tax","Collections","None",589326.92
470,"2020-2021","020","Budget","Corporation Tax","Surcharge","None",65480.77
471,"2020-2021","020","Budget","Corporation Tax","Education Cess / Health and Education Cess","None",26192.31
472,"2020-2021","020","Budget","Corporation Tax","Penalties","None",""
473,"2020-2021","020","Budget","Corporation Tax","Interest Recoveries","None",""
474,"2020-2021","020","Budget","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",""
475,"2020-2021","020","Budget","Corporation Tax","Tax on Distributed Income to Unit Holders","None",""
476,"2020-2021","020","Budget","Corporation Tax","Miscellaneous Receipts","None",""
477,"2020-2021","021","Budget","Taxes on Income","Collections","None",540865.38
478,"2020-2021","021","Budget","Taxes on Income","Surcharge","None",60096.15
479,"2020-2021","021","Budget","Taxes on Income","Health and Education Cess","None",24038.46
480,"2020-2021","021","Budget","Taxes on Income","Penalties","None",""
481,"2020-2021","021","Budget","Taxes on Income","Interest Recoveries","None",""
482,"2020-2021","021","Budget","Taxes on Income","Tax Under Black Money","None",""
483,"2020-2021","021","Budget","Taxes on Income","Miscellaneous Receipts","None",""
484,"2020-2021","036","Budget","Taxes on Income","Banking Transaction Tax (BCTT)","None",""
485,"2020-2021","034","Budget","Taxes on Income","Security Transaction Tax","None",13000.0
486,"2020-2021","023","Budget","Taxes on Income","Hotel Receipts Tax","None",""
487,"2020-2021","024","Budget","Taxes on Income","Interest Tax","None",""
488,"2020-2021","026","Budget","Taxes on Income","Fringe Benefit Tax","None",""
489,"2020-2021","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","None",""
490,"2020-2021","031","Budget","Wealth Tax","Estate Duty","None",""
491,"2020-2021","032","Budget","Wealth Tax","Taxes on Wealth","None",""
492,"2020-2021","037","Budget","Customs","Import Duties","Basic Duties ",124000.0
493,"2020-2021","037","Budget","Customs","Import Duties","Additional Duty on Customs(CVD) ",""
494,"2020-2021","037","Budget","Customs","Import Duties","Special CV Duty ",""
495,"2020-2021","037","Budget","Customs","Import Duties","Additional Duty of Custom on High Speed Diesel Oil ",""
496,"2020-2021","037","Budget","Customs","Import Duties","National Calamity Contingent Duty ",930.0
497,"2020-2021","037","Budget","Customs","Import Duties","Education Cess ",""
498,"2020-2021","037","Budget","Customs","Import Duties","Secondary and Higher Education Cess ",""
499,"2020-2021","037","Budget","Customs","Import Duties","Social Welfare Surcharge ",10200.0
500,"2020-2021","037","Budget","Customs","Export Duty","Social Welfare Surcharge ",220.0
501,"2020-2021","037","Budget","Customs","Cesses on Exports","Social Welfare Surcharge ",1600.0
502,"2020-2021","037","Budget","Customs","Other Receipts","Social Welfare Surcharge ",1050.0
503,"2020-2021","038","Budget","Union Excise Duties","Basic Excise Duties","Social Welfare Surcharge ",82390.0
504,"2020-2021","038","Budget","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",""
505,"2020-2021","038","Budget","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Social Welfare Surcharge ",""
506,"2020-2021","038","Budget","Union Excise Duties","National Calamity Contingent Duty","Social Welfare Surcharge ",2000.0
507,"2020-2021","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",40500.0
508,"2020-2021","038","Budget","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Social Welfare Surcharge ",""
509,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",""
510,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",""
511,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",16500.0
512,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",""
513,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",""
514,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",""
515,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",""
516,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess (Erstwhile-Clean Energy Cess) ",""
517,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",""
518,"2020-2021","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",125610.0
519,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Coal & Coke ",""
520,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Rubber ",""
521,"2020-2021","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution ",""
522,"2020-2021","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution Less-Receipts netted against expenditure",""
523,"2020-2021","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Research and Development ",""
524,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Beedi Fund ",""
525,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Cess Collection on Textiles & Textile Machinery ",""
526,"2020-2021","044","Budget","Service Tax","Collections","Cess Collection on Textiles & Textile Machinery ",1020.0
527,"2020-2021","044","Budget","Service Tax","Education Cess","Cess Collection on Textiles & Textile Machinery ",""
528,"2020-2021","044","Budget","Service Tax","Secondary & Higher Education Cess","Cess Collection on Textiles & Textile Machinery ",""
529,"2020-2021","044","Budget","Service Tax","Swachh Bharat Cess","Cess Collection on Textiles & Textile Machinery ",""
530,"2020-2021","044","Budget","Service Tax","Krishi Kalyan Cess","Cess Collection on Textiles & Textile Machinery ",""
531,"2020-2021","040","Budget","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Cess Collection on Textiles & Textile Machinery ",""
532,"2020-2021","045","Budget","Other Taxes and Duties on Commodities and Services","Other Taxes","Cess Collection on Textiles & Textile Machinery ",""
533,"2020-2021","005","Budget","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Cess Collection on Textiles & Textile Machinery ",580000.0
534,"2020-2021","008","Budget","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Cess Collection on Textiles & Textile Machinery ",""
535,"2020-2021","009","Budget","Goods and Services Tax (GST)","GST Compensation Cess","Cess Collection on Textiles & Textile Machinery ",110500.0
536,"2020-2021","710","Budget","Taxes of Union Territories","Land Revenue","Cess Collection on Textiles & Textile Machinery ",43.21
537,"2020-2021","710","Budget","Taxes of Union Territories","Stamps and Registration","Cess Collection on Textiles & Textile Machinery ",315.67
538,"2020-2021","710","Budget","Taxes of Union Territories","State Excise Duties","Cess Collection on Textiles & Textile Machinery ",1420.03
539,"2020-2021","710","Budget","Taxes of Union Territories","Sales Tax","Cess Collection on Textiles & Textile Machinery ",1589.95
540,"2020-2021","710","Budget","Taxes of Union Territories","Taxes on Vehicles","Cess Collection on Textiles & Textile Machinery ",327.27
541,"2020-2021","710","Budget","Taxes of Union Territories","Taxes on goods and passengers","Cess Collection on Textiles & Textile Machinery ",21.25
542,"2020-2021","710","Budget","Taxes of Union Territories","Taxes and Duties on Electricity","Cess Collection on Textiles & Textile Machinery ",55.0
543,"2020-2021","710","Budget","Taxes of Union Territories","Other Taxes and Duties","Cess Collection on Textiles & Textile Machinery ",727.62
544,"2020-2021","007","Budget","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Cess Collection on Textiles & Textile Machinery ",3000.0
545,"2020-2021","037","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Cess Collection on Textiles & Textile Machinery ",-930.0
546,"2020-2021","038","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Cess Collection on Textiles & Textile Machinery ",-2000.0
547,"2019-2020","020","Actual","Corporation Tax","Collections","None",462842.68
548,"2019-2020","020","Actual","Corporation Tax","Surcharge","None",19054.14
549,"2019-2020","020","Actual","Corporation Tax","Education Cess / Health and Education Cess","None",20888.0
550,"2019-2020","020","Actual","Corporation Tax","Penalties","None",139.17
551,"2019-2020","020","Actual","Corporation Tax","Interest Recoveries","None",1955.43
552,"2019-2020","020","Actual","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",50399.38
553,"2019-2020","020","Actual","Corporation Tax","Tax on Distributed Income to Unit Holders","None",1201.71
554,"2019-2020","020","Actual","Corporation Tax","Miscellaneous Receipts","None",395.04
555,"2019-2020","021","Actual","Taxes on Income","Collections","None",453408.71
556,"2019-2020","021","Actual","Taxes on Income","Surcharge","None",5236.92
557,"2019-2020","021","Actual","Taxes on Income","Health and Education Cess","None",18243.1
558,"2019-2020","021","Actual","Taxes on Income","Penalties","None",424.63
559,"2019-2020","021","Actual","Taxes on Income","Interest Recoveries","None",2704.6
560,"2019-2020","021","Actual","Taxes on Income","Tax Under Black Money","None",4.37
561,"2019-2020","021","Actual","Taxes on Income","Miscellaneous Receipts","None",325.81
562,"2019-2020","034","Actual","Taxes on Income","Security Transaction Tax","None",12374.23
563,"2019-2020","023","Actual","Taxes on Income","Hotel Receipts Tax","None",1.26
564,"2019-2020","024","Actual","Taxes on Income","Interest Tax","None",2.09
565,"2019-2020","026","Actual","Taxes on Income","Fringe Benefit Tax","None",-135.27
566,"2019-2020","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",13.18
567,"2019-2020","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",45.95
568,"2019-2020","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",0.01
569,"2019-2020","028","Actual","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",4.12
570,"2019-2020","031","Actual","Wealth Tax","Estate Duty","Other Receipts ",1.7
571,"2019-2020","032","Actual","Wealth Tax","Taxes on Wealth","Other Receipts ",18.11
572,"2019-2020","037","Actual","Customs","Import Duties","Basic Duties ",90597.75
573,"2019-2020","037","Actual","Customs","Import Duties","Additional Duty on Customs(CVD) ",0.19
574,"2019-2020","037","Actual","Customs","Import Duties","National Calamity Contingent Duty ",545.0
575,"2019-2020","037","Actual","Customs","Import Duties","Education Cess ",51.91
576,"2019-2020","037","Actual","Customs","Import Duties","Secondary and Higher Education Cess ",13.62
577,"2019-2020","037","Actual","Customs","Import Duties","Social Welfare Surcharge ",8251.12
578,"2019-2020","037","Actual","Customs","Import Duties","Health Cess ",""
579,"2019-2020","037","Actual","Customs","Import Duties","Through Debit in RoDTEP Ledger ",""
580,"2019-2020","037","Actual","Customs","Export Duty","Through Debit in RoDTEP Ledger ",-976.64
581,"2019-2020","037","Actual","Customs","Cesses on Exports","Through Debit in RoDTEP Ledger ",5759.14
582,"2019-2020","037","Actual","Customs","Other Receipts","Through Debit in RoDTEP Ledger ",1245.46
583,"2019-2020","037","Actual","Customs","Sale of Gold by Public Auction","Through Debit in RoDTEP Ledger ",65.66
584,"2019-2020","037","Actual","Customs","Sale Proceeds of Confiscated Goods","Through Debit in RoDTEP Ledger ",827.15
585,"2019-2020","037","Actual","Customs","Anti-dumping Duty","Through Debit in RoDTEP Ledger ",1065.47
586,"2019-2020","037","Actual","Customs","Safeguard Duty","Through Debit in RoDTEP Ledger ",1732.72
587,"2019-2020","037","Actual","Customs","Customs Duty on Gold","Through Debit in RoDTEP Ledger ",101.58
588,"2019-2020","037","Actual","Customs","Road and Infrastructure Cess","Through Debit in RoDTEP Ledger ",2.41
589,"2019-2020","038","Actual","Union Excise Duties","Basic Excise Duties","Through Debit in RoDTEP Ledger ",61779.31
590,"2019-2020","038","Actual","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Through Debit in RoDTEP Ledger ",14827.3
591,"2019-2020","038","Actual","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Through Debit in RoDTEP Ledger ",40668.72
592,"2019-2020","038","Actual","Union Excise Duties","National Calamity Contingent Duty","Through Debit in RoDTEP Ledger ",1935.0
593,"2019-2020","038","Actual","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Through Debit in RoDTEP Ledger ",38186.75
594,"2019-2020","038","Actual","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Through Debit in RoDTEP Ledger ",0.1
595,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",16.58
596,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",8.08
597,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",14062.48
598,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",0.02
599,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",3.5
600,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",1.08
601,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",0.02
602,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess (Erstwhile-Clean Energy Cess) ",24.56
603,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",0.94
604,"2019-2020","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",67371.33
605,"2019-2020","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Rubber ",0.02
606,"2019-2020","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Jute ",2.18
607,"2019-2020","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Tea ",0.11
608,"2019-2020","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",14.78
609,"2019-2020","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Cotton ",-0.01
610,"2019-2020","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",0.03
611,"2019-2020","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Paper ",0.07
612,"2019-2020","038","Actual","Union Excise Duties","Auxiliary Duties of Excise","Paper ",-28.85
613,"2019-2020","038","Actual","Union Excise Duties","Special Excise Duties","Paper ",1088.75
614,"2019-2020","038","Actual","Union Excise Duties","Excise Duty on generation of Power","Paper ",0.95
615,"2019-2020","038","Actual","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Paper ",4.61
616,"2019-2020","038","Actual","Union Excise Duties","Additional Duty of Excise on mineral Product","Paper ",0.5
617,"2019-2020","038","Actual","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Paper ",-775.42
618,"2019-2020","038","Actual","Union Excise Duties","Additional Excise Duty on TV Sets","Paper ",-0.46
619,"2019-2020","038","Actual","Union Excise Duties","Other Duties","Paper ",89.17
620,"2019-2020","038","Actual","Union Excise Duties","Sale of Confiscated Goods","Paper ",0.63
621,"2019-2020","038","Actual","Union Excise Duties","Miscellaneous Receipts","Paper ",169.6
622,"2019-2020","044","Actual","Service Tax","Collections","Paper ",5929.4
623,"2019-2020","044","Actual","Service Tax","Education Cess","Paper ",12.99
624,"2019-2020","044","Actual","Service Tax","Secondary & Higher Education Cess","Paper ",6.27
625,"2019-2020","044","Actual","Service Tax","Swachh Bharat Cess","Paper ",46.63
626,"2019-2020","044","Actual","Service Tax","Krishi Kalyan Cess","Paper ",36.0
627,"2019-2020","044","Actual","Service Tax","Other Receipts","Paper ",-2.18
628,"2019-2020","005","Actual","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Paper ",494070.6
629,"2019-2020","008","Actual","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Paper ",9125.21
630,"2019-2020","009","Actual","Goods and Services Tax (GST)","GST Compensation Cess","Paper ",95553.09
631,"2019-2020","040","Actual","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Paper ",""
632,"2019-2020","045","Actual","Other Taxes and Duties on Commodities and Services","Other Taxes","Paper ",1162.09
633,"2019-2020","710","Actual","Taxes of Union Territories","Land Revenue","Paper ",17.27
634,"2019-2020","710","Actual","Taxes of Union Territories","Stamps and Registration","Paper ",298.78
635,"2019-2020","710","Actual","Taxes of Union Territories","State Excise Duties","Paper ",1135.53
636,"2019-2020","710","Actual","Taxes of Union Territories","Sales Tax","Paper ",1077.9
637,"2019-2020","710","Actual","Taxes of Union Territories","Taxes on Vehicles","Paper ",231.48
638,"2019-2020","710","Actual","Taxes of Union Territories","Taxes on goods and passengers","Paper ",12.93
639,"2019-2020","710","Actual","Taxes of Union Territories","Taxes and Duties on Electricity","Paper ",26.3
640,"2019-2020","710","Actual","Taxes of Union Territories","Other Taxes and Duties","Paper ",0.02
641,"2019-2020","007","Actual","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Paper ",3034.98
642,"2019-2020","037","Actual","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Paper ",-545.0
643,"2019-2020","038","Actual","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Paper ",-1935.0
644,"2020-2021","021","Budget","Taxes on Income","Surcharge","None",60096.16
645,"2020-2021","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",""
646,"2020-2021","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",""
647,"2020-2021","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",""
648,"2020-2021","028","Budget","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",""
649,"2020-2021","031","Budget","Wealth Tax","Estate Duty","Other Receipts ",""
650,"2020-2021","032","Budget","Wealth Tax","Taxes on Wealth","Other Receipts ",""
651,"2020-2021","037","Budget","Customs","Import Duties","Health Cess ",""
652,"2020-2021","037","Budget","Customs","Import Duties","Through Debit in RoDTEP Ledger ",""
653,"2020-2021","037","Budget","Customs","Export Duty","Through Debit in RoDTEP Ledger ",220.0
654,"2020-2021","037","Budget","Customs","Cesses on Exports","Through Debit in RoDTEP Ledger ",1600.0
655,"2020-2021","037","Budget","Customs","Other Receipts","Through Debit in RoDTEP Ledger ",1050.0
656,"2020-2021","037","Budget","Customs","Sale of Gold by Public Auction","Through Debit in RoDTEP Ledger ",""
657,"2020-2021","037","Budget","Customs","Sale Proceeds of Confiscated Goods","Through Debit in RoDTEP Ledger ",""
658,"2020-2021","037","Budget","Customs","Anti-dumping Duty","Through Debit in RoDTEP Ledger ",""
659,"2020-2021","037","Budget","Customs","Safeguard Duty","Through Debit in RoDTEP Ledger ",""
660,"2020-2021","037","Budget","Customs","Customs Duty on Gold","Through Debit in RoDTEP Ledger ",""
661,"2020-2021","037","Budget","Customs","Road and Infrastructure Cess","Through Debit in RoDTEP Ledger ",""
662,"2020-2021","038","Budget","Union Excise Duties","Basic Excise Duties","Through Debit in RoDTEP Ledger ",82390.0
663,"2020-2021","038","Budget","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Through Debit in RoDTEP Ledger ",""
664,"2020-2021","038","Budget","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Through Debit in RoDTEP Ledger ",""
665,"2020-2021","038","Budget","Union Excise Duties","National Calamity Contingent Duty","Through Debit in RoDTEP Ledger ",2000.0
666,"2020-2021","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Through Debit in RoDTEP Ledger ",40500.0
667,"2020-2021","038","Budget","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Through Debit in RoDTEP Ledger ",""
668,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Jute ",""
669,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Tea ",""
670,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",""
671,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Cotton ",""
672,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",""
673,"2020-2021","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Paper ",""
674,"2020-2021","038","Budget","Union Excise Duties","Auxiliary Duties of Excise","Paper ",""
675,"2020-2021","038","Budget","Union Excise Duties","Special Excise Duties","Paper ",""
676,"2020-2021","038","Budget","Union Excise Duties","Excise Duty on generation of Power","Paper ",""
677,"2020-2021","038","Budget","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Paper ",""
678,"2020-2021","038","Budget","Union Excise Duties","Additional Duty of Excise on mineral Product","Paper ",""
679,"2020-2021","038","Budget","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Paper ",""
680,"2020-2021","038","Budget","Union Excise Duties","Additional Excise Duty on TV Sets","Paper ",""
681,"2020-2021","038","Budget","Union Excise Duties","Other Duties","Paper ",""
682,"2020-2021","038","Budget","Union Excise Duties","Sale of Confiscated Goods","Paper ",""
683,"2020-2021","038","Budget","Union Excise Duties","Miscellaneous Receipts","Paper ",""
684,"2020-2021","044","Budget","Service Tax","Collections","Paper ",1020.0
685,"2020-2021","044","Budget","Service Tax","Education Cess","Paper ",""
686,"2020-2021","044","Budget","Service Tax","Secondary & Higher Education Cess","Paper ",""
687,"2020-2021","044","Budget","Service Tax","Swachh Bharat Cess","Paper ",""
688,"2020-2021","044","Budget","Service Tax","Krishi Kalyan Cess","Paper ",""
689,"2020-2021","044","Budget","Service Tax","Other Receipts","Paper ",""
690,"2020-2021","005","Budget","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Paper ",580000.0
691,"2020-2021","008","Budget","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Paper ",""
692,"2020-2021","009","Budget","Goods and Services Tax (GST)","GST Compensation Cess","Paper ",110500.0
693,"2020-2021","040","Budget","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Paper ",""
694,"2020-2021","045","Budget","Other Taxes and Duties on Commodities and Services","Other Taxes","Paper ",""
695,"2020-2021","710","Budget","Taxes of Union Territories","Land Revenue","Paper ",43.21
696,"2020-2021","710","Budget","Taxes of Union Territories","Stamps and Registration","Paper ",315.67
697,"2020-2021","710","Budget","Taxes of Union Territories","State Excise Duties","Paper ",1420.03
698,"2020-2021","710","Budget","Taxes of Union Territories","Sales Tax","Paper ",1589.95
699,"2020-2021","710","Budget","Taxes of Union Territories","Taxes on Vehicles","Paper ",327.27
700,"2020-2021","710","Budget","Taxes of Union Territories","Taxes on goods and passengers","Paper ",21.25
701,"2020-2021","710","Budget","Taxes of Union Territories","Taxes and Duties on Electricity","Paper ",55.0
702,"2020-2021","710","Budget","Taxes of Union Territories","Other Taxes and Duties","Paper ",727.62
703,"2020-2021","007","Budget","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Paper ",3000.0
704,"2020-2021","037","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Paper ",-930.0
705,"2020-2021","038","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Paper ",-2000.0
706,"2020-2021","020","Revised","Corporation Tax","Collections","None",385961.53
707,"2020-2021","020","Revised","Corporation Tax","Surcharge","None",42884.62
708,"2020-2021","020","Revised","Corporation Tax","Education Cess / Health and Education Cess","None",17153.85
709,"2020-2021","020","Revised","Corporation Tax","Penalties","None",""
710,"2020-2021","020","Revised","Corporation Tax","Interest Recoveries","None",""
711,"2020-2021","020","Revised","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",""
712,"2020-2021","020","Revised","Corporation Tax","Tax on Distributed Income to Unit Holders","None",""
713,"2020-2021","020","Revised","Corporation Tax","Miscellaneous Receipts","None",""
714,"2020-2021","021","Revised","Taxes on Income","Collections","None",386826.92
715,"2020-2021","021","Revised","Taxes on Income","Surcharge","None",42980.77
716,"2020-2021","021","Revised","Taxes on Income","Health and Education Cess","None",17192.31
717,"2020-2021","021","Revised","Taxes on Income","Penalties","None",""
718,"2020-2021","021","Revised","Taxes on Income","Interest Recoveries","None",""
719,"2020-2021","021","Revised","Taxes on Income","Tax Under Black Money","None",""
720,"2020-2021","021","Revised","Taxes on Income","Miscellaneous Receipts","None",""
721,"2020-2021","034","Revised","Taxes on Income","Security Transaction Tax","None",12000.0
722,"2020-2021","023","Revised","Taxes on Income","Hotel Receipts Tax","None",""
723,"2020-2021","024","Revised","Taxes on Income","Interest Tax","None",""
724,"2020-2021","026","Revised","Taxes on Income","Fringe Benefit Tax","None",""
